Country,Edition,Fixed-line broadband subscribers,Mobile subscribers,Gender gap in internet access,Gender gap in mobile phone access,Average mobile latency,Bandwidth capacity,Internet exchange points,Urban electricity access,Rural electricity access,Smartphone cost (handset),"Average revenue per user (ARPU, annualized)",e-Entertainment usage,Nominal GDP,Population,Urban population,GNI per capita,GINI coefficient,Population under the poverty line,Total electricity access,Percentage of schools with Internet access,Global Peace Index,Democracy Index,Internet users (population),Offline population,Internet access gender gap,Mobile phone access gender gap,Internet users (percent of population),Male internet users,Female internet users,Male mobile phone subscribers,Female mobile phone subscribers,Total fixed line broadband subscribers,Year,Income Class,Mobile subscribers (Percentage),Offline population (Percentage)
Algeria,E1,5.71,108.8,,,143.0,30806.0,0.0,100.0,96.7,36.8,65.4,,160.1,40.6,70.8,4850,27.6,0.2,99.99,53.0,2.2,4.0,15.23,24.64,,,38.2,,,95.5,89.9,2269348,2017,Upper-Middle Income,2.6798029556650245,60.689655172413794
Algeria,E2,7.05,116.0,22.0,7.8,83.98,31440.0,0.0,100.0,96.87,38.4,64.2,76.0,170.5,41.3,71.5,4370,27.6,0.2,100.0,53.0,2.2,3.6,17.44,23.18,13.0,7.0,42.9,59.0,46.0,90.0,83.0,2859567,2018,Upper-Middle Income,2.8087167070217918,56.12590799031477
Algeria,E3,7.76,110.8,11.7,8.9,70.21,25307.0,0.0,100.0,96.87,37.4,58.7,75.9,173.7,42.1,72.0,3920,27.6,0.2,100.0,53.0,2.2,3.6,19.71,21.62,7.0,8.0,47.7,60.0,53.0,90.0,82.0,3210267,2019,Lower-Middle Income,2.6318289786223277,51.35391923990499
Algeria,E4,7.26,111.7,21.7,7.3,72.89,20944.0,0.0,100.0,100.0,34.3,51.5,94.0,185.0,42.9,72.6,3960,27.6,0.2,100.0,53.0,2.3,3.5,20.64,21.45,13.0,6.0,49.0,60.0,47.0,82.0,76.0,3067022,2020,Lower-Middle Income,2.603729603729604,50.0
Algeria,E5,8.32,109.4,10.9,8.0,59.15,20944.0,0.0,100.0,96.7,32.9,50.0,84.0,166.6,43.7,73.2,3970,27.6,0.2,100.0,53.0,2.3,4.0,20.64,21.45,7.0,7.0,49.0,64.0,57.0,87.0,80.0,3582739,2021,Lower-Middle Income,2.5034324942791764,49.084668192219674
Angola,E1,0.55,49.8,,,109.0,5335.0,0.8,45.9,18.2,33.0,39.5,,101.1,28.8,63.4,4520,42.7,9.6,40.67,31.1,2.1,3.3,3.46,24.43,,,12.4,,,64.3,55.1,153571,2017,Upper-Middle Income,1.7291666666666665,84.82638888888889
Angola,E2,0.29,45.1,39.9,16.2,76.17,8476.0,0.69,69.0,5.55,33.8,39.6,84.2,122.1,29.8,64.1,3770,42.7,9.6,41.96,16.7,2.1,3.4,3.75,25.09,9.9,10.8,13.0,28.1,18.2,70.0,59.2,84724,2018,Lower-Middle Income,1.5134228187919463,84.19463087248322
Angola,E3,0.33,44.7,38.9,15.2,62.64,11693.0,0.67,69.0,5.55,44.2,40.4,82.0,101.4,30.8,64.8,3450,51.3,9.6,43.26,16.7,2.0,3.6,4.28,25.54,10.4,9.9,14.3,30.3,19.9,70.2,60.3,96919,2019,Lower-Middle Income,1.4512987012987013,82.92207792207792
Angola,E4,0.36,43.1,27.8,11.2,65.66,11693.0,0.65,64.5,6.4,30.5,39.7,82.0,94.6,31.8,65.5,3210,51.3,9.6,43.26,16.7,2.1,3.6,4.28,25.54,8.9,7.6,14.3,34.8,25.9,71.3,63.7,109561,2020,Lower-Middle Income,1.3553459119496856,80.31446540880502
Angola,E5,0.37,46.6,30.6,14.4,55.03,11693.0,0.63,61.0,6.2,31.6,39.2,66.0,57.5,32.9,66.2,3050,51.3,21.4,43.26,16.7,2.1,3.7,4.28,25.54,10.5,10.1,14.3,37.3,26.9,75.1,65.0,119047,2021,Lower-Middle Income,1.4164133738601825,77.629179331307
