Year,Country,Internet users (population),Offline population,Offline population (Percentage),Internet users (percent of population),Population,Mobile subscribers (Percentage)
2017,Denmark,5.48,0.21,3.684210526315789,96.3,5.7,21.82456140350877
2017,Bahrain,1.28,0.09,6.42857142857143,93.5,1.4,131.14285714285714
2017,Qatar,2.38,0.18,6.666666666666667,92.9,2.7,54.0
2017,United Kingdom,60.17,5.23,7.948328267477205,92.0,65.8,1.8282674772036474
2017,Netherlands,15.5,1.4,8.235294117647058,91.7,17.0,7.229411764705882
2017,Japan,116.54,11.44,8.95148669796557,91.1,127.8,0.9820031298904539
2017,UAE,8.38,0.88,9.361702127659575,90.5,9.4,20.606382978723403
2017,Sweden,8.85,0.92,9.387755102040817,90.6,9.8,13.204081632653061
2017,Canada,32.42,3.6,9.89010989010989,90.0,36.4,2.269230769230769
2017,South Korea,45.69,5.14,10.07843137254902,89.9,51.0,2.2745098039215685
2017,New Zealand,4.06,0.54,11.48936170212766,88.2,4.7,25.829787234042552
2017,Estonia,1.16,0.15,11.538461538461538,88.4,1.3,111.30769230769229
2017,Germany,71.98,10.2,12.34866828087167,87.6,82.6,1.4261501210653753
2017,Switzerland,7.28,1.04,12.380952380952381,87.5,8.4,16.13095238095238
2017,Finland,4.74,0.74,13.454545454545455,86.4,5.5,24.527272727272727
2018,Bahrain,1.4,0.03,2.0,98.0,1.5,140.0
2018,Denmark,5.54,0.17,2.9824561403508776,97.0,5.7,21.45614035087719
2018,Qatar,2.52,0.13,4.814814814814815,95.1,2.7,50.962962962962955
2018,United Kingdom,62.35,3.44,5.157421289355322,94.8,66.7,1.785607196401799
2018,Japan,119.05,8.71,6.831372549019608,93.2,127.5,1.024313725490196
2018,South Korea,47.33,3.65,7.142857142857142,92.8,51.1,2.352250489236791
2018,Canada,33.17,3.22,8.773841961852861,91.2,36.7,2.302452316076294
2018,UAE,8.48,0.88,9.263157894736842,90.6,9.5,22.378947368421052
2018,Netherlands,15.35,1.63,9.532163742690058,90.4,17.1,7.19298245614035
2018,Sweden,8.82,1.02,10.303030303030303,89.7,9.9,12.878787878787879
2018,Switzerland,7.49,0.91,10.705882352941176,89.1,8.5,15.788235294117646
2018,New Zealand,4.15,0.54,11.250000000000002,88.5,4.8,27.270833333333336
2018,Finland,4.82,0.68,12.363636363636363,87.7,5.5,23.872727272727275
2018,Hong Kong,6.34,0.91,12.465753424657535,87.5,7.3,33.26027397260274
2018,Estonia,1.15,0.17,13.076923076923078,87.2,1.3,110.9230769230769
2019,Kuwait,3.98,0.08,1.9512195121951224,98.0,4.1,42.926829268292686
2019,Qatar,2.65,0.07,2.5000000000000004,97.4,2.8,52.28571428571429
2019,Denmark,5.57,0.17,2.931034482758621,97.1,5.8,21.482758620689655
2019,Bahrain,1.44,0.06,4.0,95.9,1.5,105.53333333333335
2019,South Korea,48.58,2.52,4.921875,95.1,51.2,2.4335937499999996
2019,UAE,9.0,0.49,5.104166666666667,94.8,9.6,21.770833333333336
2019,Saudi Arabia,30.71,1.9,5.688622754491018,94.2,33.4,3.637724550898204
2019,Netherlands,15.92,1.16,6.7441860465116275,93.2,17.2,7.011627906976744
2019,Sweden,9.22,0.69,6.8999999999999995,93.0,10.0,12.64
2019,Canada,34.05,2.68,7.223719676549865,92.7,37.1,2.326145552560647
2019,Japan,116.96,10.55,8.294025157232705,91.7,127.2,1.065251572327044
2019,New Zealand,4.34,0.44,8.979591836734693,90.8,4.9,27.77551020408163
2019,United Kingdom,60.34,6.39,9.523099850968704,90.4,67.1,1.7660208643815203
2019,Switzerland,7.6,0.87,10.23529411764706,89.7,8.5,15.423529411764704
2019,Hong Kong,6.53,0.77,10.405405405405405,89.4,7.4,34.027027027027025
2020,Qatar,2.77,0.01,0.35714285714285715,99.7,2.8,50.67857142857143
2020,Kuwait,4.12,0.02,0.47619047619047616,99.6,4.2,40.857142857142854
2020,Bahrain,1.48,0.02,1.3333333333333335,98.6,1.5,88.86666666666667
2020,UAE,9.48,0.15,1.5306122448979589,98.5,9.8,21.27551020408163
2020,Denmark,5.6,0.15,2.586206896551724,97.3,5.8,21.637931034482758
2020,South Korea,49.14,2.04,3.9843749999999996,96.0,51.2,2.5332031249999996
2020,Saudi Arabia,31.18,2.24,6.549707602339182,93.3,34.2,3.5847953216374266
2020,Sweden,9.22,0.69,6.831683168316831,93.0,10.1,12.534653465346535
2020,Canada,34.05,2.68,7.16577540106952,92.7,37.4,2.3957219251336896
2020,Netherlands,15.9,1.28,7.398843930635839,92.6,17.3,7.1502890173410405
2020,Japan,116.11,11.09,8.739164696611505,91.3,126.9,1.1142631993695824
2020,New Zealand,4.34,0.44,8.979591836734693,90.8,4.9,27.53061224489796
2020,United Kingdom,60.89,6.25,9.25925925925926,90.7,67.5,1.7540740740740741
2020,Hong Kong,6.67,0.7,9.459459459459458,90.5,7.4,36.47297297297297
2020,Switzerland,7.6,0.87,10.116279069767442,89.7,8.6,14.709302325581396
2021,Bahrain,1.48,0.0,0.0,99.7,1.5,77.2
2021,Qatar,2.82,0.01,0.3448275862068966,99.7,2.9,47.6896551724138
2021,Kuwait,4.19,0.02,0.46511627906976744,99.5,4.3,40.51162790697674
2021,UAE,9.69,0.08,0.8421052631578947,99.1,9.5,21.11578947368421
2021,Denmark,5.66,0.11,1.896551724137931,98.0,5.8,21.637931034482758
2021,South Korea,49.26,1.97,3.840155945419103,96.2,51.3,2.6218323586744643
2021,Saudi Arabia,32.76,1.46,4.171428571428571,95.7,35.0,3.442857142857143
2021,Sweden,9.5,0.55,5.445544554455446,94.5,10.1,12.722772277227723
2021,Netherlands,16.1,1.16,6.705202312138728,93.3,17.3,7.358381502890173
2021,Switzerland,8.02,0.59,6.781609195402299,93.1,8.7,14.482758620689657
2021,Canada,34.05,2.68,7.108753315649867,92.7,37.7,2.4376657824933687
2021,United Kingdom,62.48,5.05,7.437407952871869,92.5,67.9,1.7658321060382915
2021,Oman,4.27,0.35,7.954545454545453,92.4,4.4,31.409090909090903
2021,Hong Kong,6.82,0.61,8.133333333333333,91.7,7.5,38.46666666666667
2021,Japan,116.11,11.09,8.766798418972332,91.3,126.5,1.1620553359683794
