user_loc,fr_loc,scaled_sci,categories
AU,AE,11931,Australia
AU,AF,6313,Australia
AU,AG,3514,Australia
AU,AL,2268,Australia
AU,AM,1277,Australia
AU,AO,291,Australia
AU,AR,1624,Australia
AU,AT,5680,Australia
AU,AU,1780129,Australia
AU,AW,2719,Australia
AU,AZ,443,Australia
AU,BA,7830,Australia
AU,BB,4314,Australia
AU,BD,1765,Australia
AU,BE,4143,Australia
AU,BF,210,Australia
AU,BG,1578,Australia
AU,BH,6822,Australia
AU,BI,4547,Australia
AU,BJ,380,Australia
AU,BN,11472,Australia
AU,BO,337,Australia
AU,BR,1749,Australia
AU,BS,3131,Australia
AU,BT,47252,Australia
AU,BW,3484,Australia
AU,BY,1051,Australia
AU,BZ,1245,Australia
AU,CA,15832,Australia
AU,CD,868,Australia
AU,CF,1119,Australia
AU,CG,465,Australia
AU,CH,10447,Australia
AU,CI,298,Australia
AU,CL,2907,Australia
AU,CM,556,Australia
AU,CO,2728,Australia
AU,CR,1216,Australia
AU,CV,714,Australia
AU,CW,2561,Australia
AU,CY,15743,Australia
AU,CZ,2560,Australia
AU,DE,5747,Australia
AU,DJ,1577,Australia
AU,DK,7728,Australia
AU,DO,466,Australia
AU,DZ,234,Australia
AU,EC,531,Australia
AU,EE,11743,Australia
AU,EG,1061,Australia
AU,ES,3120,Australia
AU,ET,3032,Australia
AU,FI,6137,Australia
AU,FJ,116638,Australia
AU,FM,3687,Australia
AU,FR,3684,Australia
AU,GA,364,Australia
AU,GB,27247,Australia
AU,GD,2718,Australia
AU,GE,605,Australia
AU,GF,897,Australia
AU,GH,2045,Australia
AU,GM,2967,Australia
AU,GN,1253,Australia
AU,GP,1541,Australia
AU,GQ,582,Australia
AU,GR,10798,Australia
AU,GT,301,Australia
AU,GU,7620,Australia
AU,GW,242,Australia
AU,GY,989,Australia
AU,HK,21965,Australia
AU,HN,285,Australia
AU,HR,7071,Australia
AU,HT,316,Australia
AU,HU,2571,Australia
AU,ID,1580,Australia
AU,IE,50323,Australia
AU,IM,28000,Australia
AU,IN,2661,Australia
AU,IS,8133,Australia
AU,IT,5875,Australia
AU,JE,41540,Australia
AU,JM,1718,Australia
AU,JO,2469,Australia
AU,JP,4713,Australia
AU,KE,4726,Australia
AU,KG,379,Australia
AU,KH,4751,Australia
AU,KI,42671,Australia
AU,KM,199,Australia
AU,KR,4343,Australia
AU,KW,5002,Australia
AU,KY,31267,Australia
AU,KZ,429,Australia
AU,LA,3265,Australia
AU,LB,25219,Australia
AU,LC,2274,Australia
AU,LK,24725,Australia
AU,LR,9270,Australia
AU,LS,265,Australia
AU,LT,2191,Australia
AU,LU,6495,Australia
AU,LV,2382,Australia
AU,LY,348,Australia
AU,MA,479,Australia
AU,MD,465,Australia
AU,ME,6157,Australia
AU,MG,330,Australia
AU,MK,25484,Australia
AU,ML,277,Australia
AU,MM,1933,Australia
AU,MN,6609,Australia
AU,MO,15510,Australia
AU,MQ,1208,Australia
AU,MR,245,Australia
AU,MT,42147,Australia
AU,MU,24360,Australia
AU,MV,9402,Australia
AU,MW,1608,Australia
AU,MX,483,Australia
AU,MY,13754,Australia
AU,MZ,521,Australia
AU,NC,13699,Australia
AU,NE,287,Australia
AU,NG,1399,Australia
AU,NI,342,Australia
AU,NL,8011,Australia
AU,NO,8424,Australia
AU,NP,25772,Australia
AU,NZ,209359,Australia
AU,OM,4356,Australia
AU,PA,925,Australia
AU,PE,880,Australia
AU,PF,7249,Australia
AU,PG,25860,Australia
AU,PH,7257,Australia
AU,PK,2435,Australia
AU,PL,1523,Australia
AU,PR,1085,Australia
AU,PT,4518,Australia
AU,PY,563,Australia
AU,QA,9406,Australia
AU,RE,2275,Australia
AU,RO,1473,Australia
AU,RS,6394,Australia
AU,RW,2330,Australia
AU,SA,2493,Australia
AU,SB,55722,Australia
AU,SC,25956,Australia
AU,SE,9471,Australia
AU,SG,35503,Australia
AU,SI,5203,Australia
AU,SK,2187,Australia
AU,SL,7835,Australia
AU,SN,393,Australia
AU,SR,950,Australia
AU,ST,396,Australia
AU,SV,842,Australia
AU,SZ,1104,Australia
AU,TD,537,Australia
AU,TG,567,Australia
AU,TH,3810,Australia
AU,TJ,456,Australia
AU,TL,29900,Australia
AU,TN,586,Australia
AU,TO,381475,Australia
AU,TR,1218,Australia
AU,TT,2489,Australia
AU,TW,5936,Australia
AU,TZ,1211,Australia
AU,UA,628,Australia
AU,UG,4002,Australia
AU,US,6142,Australia
AU,UY,2541,Australia
AU,UZ,412,Australia
AU,VC,2251,Australia
AU,VN,3032,Australia
AU,VU,104880,Australia
AU,WS,190020,Australia
AU,YT,477,Australia
AU,ZA,4001,Australia
AU,ZM,2290,Australia
AU,ZW,13012,Australia
BR,AE,1050,Brazil
BR,AF,584,Brazil
BR,AG,712,Brazil
BR,AL,551,Brazil
BR,AM,175,Brazil
BR,AO,12386,Brazil
BR,AR,3259,Brazil
BR,AT,959,Brazil
BR,AU,1749,Brazil
BR,AW,2033,Brazil
BR,AZ,264,Brazil
BR,BA,286,Brazil
BR,BB,586,Brazil
BR,BD,300,Brazil
BR,BE,1808,Brazil
BR,BF,670,Brazil
BR,BG,397,Brazil
BR,BH,683,Brazil
BR,BI,459,Brazil
BR,BJ,2979,Brazil
BR,BN,230,Brazil
BR,BO,6442,Brazil
BR,BR,610340,Brazil
BR,BS,1148,Brazil
BR,BT,149,Brazil
BR,BW,342,Brazil
BR,BY,441,Brazil
BR,BZ,1276,Brazil
BR,CA,1378,Brazil
BR,CD,902,Brazil
BR,CF,842,Brazil
BR,CG,1400,Brazil
BR,CH,3989,Brazil
BR,CI,1555,Brazil
BR,CL,2247,Brazil
BR,CM,1287,Brazil
BR,CO,2689,Brazil
BR,CR,1994,Brazil
BR,CV,14671,Brazil
BR,CW,1368,Brazil
BR,CY,747,Brazil
BR,CZ,360,Brazil
BR,DE,1222,Brazil
BR,DJ,459,Brazil
BR,DK,677,Brazil
BR,DO,4648,Brazil
BR,DZ,982,Brazil
BR,EC,2061,Brazil
BR,EE,513,Brazil
BR,EG,832,Brazil
BR,ES,2739,Brazil
BR,ET,258,Brazil
BR,FI,530,Brazil
BR,FJ,328,Brazil
BR,FM,133,Brazil
BR,FR,1152,Brazil
BR,GA,1275,Brazil
BR,GB,1540,Brazil
BR,GD,761,Brazil
BR,GE,221,Brazil
BR,GF,36664,Brazil
BR,GH,1715,Brazil
BR,GM,3714,Brazil
BR,GN,859,Brazil
BR,GP,1919,Brazil
BR,GQ,2013,Brazil
BR,GR,654,Brazil
BR,GT,1304,Brazil
BR,GU,289,Brazil
BR,GW,13954,Brazil
BR,GY,4871,Brazil
BR,HK,277,Brazil
BR,HN,1628,Brazil
BR,HR,474,Brazil
BR,HT,12179,Brazil
BR,HU,408,Brazil
BR,ID,201,Brazil
BR,IE,7857,Brazil
BR,IM,582,Brazil
BR,IN,221,Brazil
BR,IS,778,Brazil
