Entity,Code,Year,Share of one person households,"GDP per capita, PPP (constant 2017 international $)",Population (historical estimates),Continent
West Germany,OWID_GFR,1971,26.72,,,Europe
United States,USA,1971,17.66957855,,211384079.0,North America
Venezuela,VEN,1971,8.232542165,,11745952.0,South America
Indonesia,IDN,1971,4.667492608,,117880146.0,Asia
Nicaragua,NIC,1971,4.209931926,,2481345.0,North America
East Germany,OWID_GDR,1971,25.98,,,Europe
United States,USA,1972,18.28094101,,213269805.0,North America
Paraguay,PRY,1972,6.208800362,,2597149.0,South America
West Germany,OWID_GFR,1972,26.15,,,Europe
Israel,ISR,1972,12.35974909,,2996475.0,Asia
United States,USA,1973,18.51254845,,215178797.0,North America
West Germany,OWID_GFR,1973,26.13,,,Europe
Costa Rica,CRI,1973,4.732385848,,1992522.0,North America
Ecuador,ECU,1974,6.938578841,,6803271.0,South America
United States,USA,1974,19.13568687,,217114898.0,North America
West Germany,OWID_GFR,1974,27.19,,,Europe
United States,USA,1975,19.59926796,,219081250.0,North America
West Germany,OWID_GFR,1975,27.63,,,Europe
Uruguay,URY,1975,14.39234955,,2830172.0,South America
Japan,JPN,1975,19.53020859,,112413362.0,Asia
Indonesia,IDN,1976,4.668445889,,133966940.0,Asia
West Germany,OWID_GFR,1976,28.68,,,Europe
United States,USA,1976,20.56212044,,221086427.0,North America
Fiji,FJI,1976,3.205128205,,587561.0,Oceania
United States,USA,1977,20.94898987,,223135659.0,North America
West Germany,OWID_GFR,1977,29.22,,,Europe
United States,USA,1978,21.98474312,,225223307.0,North America
West Germany,OWID_GFR,1978,29.28,,,Europe
United States,USA,1979,22.24363136,,227339321.0,North America
West Germany,OWID_GFR,1979,30.03,,,Europe
Malaysia,MYS,1980,8.92490299,,13798094.0,Asia
Trinidad and Tobago,TTO,1980,14.02436454,,1084743.0,North America
Japan,JPN,1980,19.83397675,,117816942.0,Asia
Panama,PAN,1980,11.26521507,,1978489.0,North America
Thailand,THA,1980,3.841155891,,47374463.0,Asia
United States,USA,1980,22.65029144,,229476360.0,North America
Brazil,BRA,1980,6.12647022,,120694012.0,South America
West Germany,OWID_GFR,1980,30.2,,,Europe
Puerto Rico,PRI,1980,12.27534602,,3090688.0,North America
Indonesia,IDN,1980,4.641785932,,147447834.0,Asia
Argentina,ARG,1980,10.38154609,,27896532.0,South America
Botswana,BWA,1981,10.82652881,,930412.0,Africa
United States,USA,1981,22.98950958,,231636065.0,North America
West Germany,OWID_GFR,1981,30.8,,,Europe
Venezuela,VEN,1981,6.813819578,,15597878.0,South America
East Germany,OWID_GDR,1981,26.55,,,Europe
Paraguay,PRY,1982,5.761969621,,3368763.0,South America
Chile,CHL,1982,6.945170983,,11743909.0,South America
Ecuador,ECU,1982,7.687129694,,8409396.0,South America
China,CHN,1982,7.993996544,,1027948989.0,Asia
United States,USA,1982,23.17094994,,233821851.0,North America
