Country,Internet_3i_metric,Internet_3i_score
Algeria,Price,81.1
Angola,Price,78.3
Argentina,Price,87.8
Australia,Price,99.6
Austria,Price,93.6
Azerbaijan,Price,87.4
Bahrain,Price,92.2
Bangladesh,Price,83.1
Belgium,Price,99.6
Benin,Price,72.3
Botswana,Price,90.0
Brazil,Price,88.5
Bulgaria,Price,88.3
Burkina Faso,Price,69.2
Burundi,Price,45.7
Cambodia,Price,82.0
Cameroon,Price,79.7
Canada,Price,95.4
Chile,Price,90.5
China,Price,90.2
Colombia,Price,86.7
Congo (DRC),Price,45.2
Costa Rica,Price,89.1
Cote d'Ivoire,Price,74.9
Croatia,Price,87.2
Cuba,Price,84.5
Czech Republic,Price,93.0
Denmark,Price,91.1
Dominican Republic,Price,88.2
Ecuador,Price,85.4
Egypt,Price,86.3
El Salvador,Price,83.3
Estonia,Price,94.2
Ethiopia,Price,71.8
Finland,Price,94.7
France,Price,95.9
Gabon,Price,84.0
Germany,Price,93.1
Ghana,Price,82.2
Greece,Price,92.0
Guatemala,Price,82.9
Guinea,Price,75.9
Honduras,Price,75.4
Hong Kong,Price,95.8
Hungary,Price,91.7
India,Price,88.2
Indonesia,Price,82.9
Iran,Price,82.3
Ireland,Price,98.5
Israel,Price,92.7
Italy,Price,95.5
Jamaica,Price,87.3
Japan,Price,95.9
Jordan,Price,81.8
Kazakhstan,Price,89.3
Kenya,Price,77.9
Kuwait,Price,94.0
Laos,Price,83.2
Latvia,Price,90.8
Lebanon,Price,87.5
Liberia,Price,48.0
Lithuania,Price,91.2
Madagascar,Price,57.3
Malawi,Price,61.7
Malaysia,Price,85.0
Mali,Price,70.7
Mexico,Price,92.2
Mongolia,Price,79.0
Morocco,Price,85.9
Mozambique,Price,72.8
Myanmar,Price,82.7
Namibia,Price,82.7
Nepal,Price,73.9
Netherlands,Price,93.7
New Zealand,Price,97.9
Nicaragua,Price,77.2
Niger,Price,61.4
Nigeria,Price,84.5
Oman,Price,90.8
Pakistan,Price,80.3
Panama,Price,91.1
Papua New Guinea,Price,79.1
Paraguay,Price,85.5
Peru,Price,88.1
Philippines,Price,84.7
Poland,Price,91.9
Portugal,Price,92.5
Qatar,Price,99.5
Romania,Price,91.3
Russia,Price,92.9
Rwanda,Price,55.3
