Year,Country,Internet users (population),Offline population,Internet users (percent of population),Population
2017,Algeria,15.23,24.64,38.2,40.6
2018,Algeria,17.44,23.18,42.9,41.3
2019,Algeria,19.71,21.62,47.7,42.1
2020,Algeria,20.64,21.45,49.0,42.9
2021,Algeria,20.64,21.45,49.0,43.7
2017,Angola,3.46,24.43,12.4,28.8
2018,Angola,3.75,25.09,13.0,29.8
2019,Angola,4.28,25.54,14.3,30.8
2020,Angola,4.28,25.54,14.3,31.8
2021,Angola,4.28,25.54,14.3,32.9
2017,Argentina,29.31,13.77,68.0,43.5
2018,Argentina,30.88,12.63,71.0,43.9
2019,Argentina,32.65,11.29,74.3,44.4
2020,Argentina,32.65,11.29,74.3,44.8
2021,Argentina,32.65,11.29,74.3,45.2
2017,Australia,20.24,3.69,84.6,24.3
2018,Australia,21.0,3.27,86.5,24.6
2019,Australia,21.28,3.31,86.5,24.9
2020,Australia,21.28,3.31,86.5,25.2
2021,Australia,21.28,3.31,86.5,25.5
2017,Austria,7.18,1.37,83.9,8.6
2018,Austria,7.23,1.34,84.3,8.6
2019,Austria,7.57,1.04,87.9,8.6
2020,Austria,7.55,1.08,87.5,8.6
2021,Austria,7.59,1.06,87.8,8.7
2017,Azerbaijan,7.41,2.21,77.0,9.7
2018,Azerbaijan,7.61,2.12,78.2,9.8
2019,Azerbaijan,7.78,2.07,79.0,9.9
2020,Azerbaijan,7.94,2.01,79.8,10.0
2021,Azerbaijan,7.94,2.01,79.8,10.1
2017,Bahrain,1.28,0.09,93.5,1.4
2018,Bahrain,1.4,0.03,98.0,1.5
2019,Bahrain,1.44,0.06,95.9,1.5
2020,Bahrain,1.48,0.02,98.6,1.5
2021,Bahrain,1.48,0.0,99.7,1.5
2017,Bangladesh,22.5,133.76,14.4,158.0
2018,Bangladesh,28.47,129.51,18.0,159.7
2019,Bangladesh,28.47,129.51,18.0,161.4
2020,Bangladesh,28.47,129.51,18.0,163.0
2021,Bangladesh,21.03,142.01,12.9,164.7
2017,Belgium,9.6,1.69,85.1,11.4
2018,Belgium,9.82,1.53,86.5,11.4
2019,Belgium,10.01,1.41,87.7,11.5
