Year,Country,Internet users (population),Offline population,Internet users (percent of population),Population,Mobile subscribers (Percentage)
2017,Denmark,5.48,0.21,96.3,5.7,21.82456140350877
2017,Bahrain,1.28,0.09,93.5,1.4,131.14285714285714
2017,Qatar,2.38,0.18,92.9,2.7,54.0
2017,United Kingdom,60.17,5.23,92.0,65.8,1.8282674772036474
2017,Netherlands,15.5,1.4,91.7,17.0,7.229411764705882
2017,Japan,116.54,11.44,91.1,127.8,0.9820031298904539
2017,Sweden,8.85,0.92,90.6,9.8,13.204081632653061
2017,UAE,8.38,0.88,90.5,9.4,20.606382978723403
2017,Canada,32.42,3.6,90.0,36.4,2.269230769230769
2017,South Korea,45.69,5.14,89.9,51.0,2.2745098039215685
2017,Estonia,1.16,0.15,88.4,1.3,111.30769230769229
2017,New Zealand,4.06,0.54,88.2,4.7,25.829787234042552
2017,Germany,71.98,10.2,87.6,82.6,1.4261501210653753
2017,Switzerland,7.28,1.04,87.5,8.4,16.13095238095238
2017,Finland,4.74,0.74,86.4,5.5,24.527272727272727
2018,Bahrain,1.4,0.03,98.0,1.5,140.0
2018,Denmark,5.54,0.17,97.0,5.7,21.45614035087719
2018,Qatar,2.52,0.13,95.1,2.7,50.962962962962955
2018,United Kingdom,62.35,3.44,94.8,66.7,1.785607196401799
2018,Japan,119.05,8.71,93.2,127.5,1.024313725490196
2018,South Korea,47.33,3.65,92.8,51.1,2.352250489236791
2018,Canada,33.17,3.22,91.2,36.7,2.302452316076294
2018,UAE,8.48,0.88,90.6,9.5,22.378947368421052
2018,Netherlands,15.35,1.63,90.4,17.1,7.19298245614035
2018,Sweden,8.82,1.02,89.7,9.9,12.878787878787879
2018,Switzerland,7.49,0.91,89.1,8.5,15.788235294117646
2018,New Zealand,4.15,0.54,88.5,4.8,27.270833333333336
2018,Finland,4.82,0.68,87.7,5.5,23.872727272727275
2018,Hong Kong,6.34,0.91,87.5,7.3,33.26027397260274
2018,Estonia,1.15,0.17,87.2,1.3,110.9230769230769
2019,Kuwait,3.98,0.08,98.0,4.1,42.926829268292686
2019,Qatar,2.65,0.07,97.4,2.8,52.28571428571429
2019,Denmark,5.57,0.17,97.1,5.8,21.482758620689655
2019,Bahrain,1.44,0.06,95.9,1.5,105.53333333333335
2019,South Korea,48.58,2.52,95.1,51.2,2.4335937499999996
2019,UAE,9.0,0.49,94.8,9.6,21.770833333333336
2019,Saudi Arabia,30.71,1.9,94.2,33.4,3.637724550898204
2019,Netherlands,15.92,1.16,93.2,17.2,7.011627906976744
2019,Sweden,9.22,0.69,93.0,10.0,12.64
2019,Canada,34.05,2.68,92.7,37.1,2.326145552560647
2019,Japan,116.96,10.55,91.7,127.2,1.065251572327044
2019,New Zealand,4.34,0.44,90.8,4.9,27.77551020408163
2019,United Kingdom,60.34,6.39,90.4,67.1,1.7660208643815203
2019,Switzerland,7.6,0.87,89.7,8.5,15.423529411764704
2019,Hong Kong,6.53,0.77,89.4,7.4,34.027027027027025
2020,Qatar,2.77,0.01,99.7,2.8,50.67857142857143
2020,Kuwait,4.12,0.02,99.6,4.2,40.857142857142854
2020,Bahrain,1.48,0.02,98.6,1.5,88.86666666666667
2020,UAE,9.48,0.15,98.5,9.8,21.27551020408163
2020,Denmark,5.6,0.15,97.3,5.8,21.637931034482758
2020,South Korea,49.14,2.04,96.0,51.2,2.5332031249999996
2020,Saudi Arabia,31.18,2.24,93.3,34.2,3.5847953216374266
2020,Sweden,9.22,0.69,93.0,10.1,12.534653465346535
2020,Canada,34.05,2.68,92.7,37.4,2.3957219251336896
2020,Netherlands,15.9,1.28,92.6,17.3,7.1502890173410405
2020,Japan,116.11,11.09,91.3,126.9,1.1142631993695824
2020,New Zealand,4.34,0.44,90.8,4.9,27.53061224489796
2020,United Kingdom,60.89,6.25,90.7,67.5,1.7540740740740741
2020,Hong Kong,6.67,0.7,90.5,7.4,36.47297297297297
2020,Switzerland,7.6,0.87,89.7,8.6,14.709302325581396
2021,Qatar,2.82,0.01,99.7,2.9,47.6896551724138
2021,Bahrain,1.48,0.0,99.7,1.5,77.2
2021,Kuwait,4.19,0.02,99.5,4.3,40.51162790697674
2021,UAE,9.69,0.08,99.1,9.5,21.11578947368421
2021,Denmark,5.66,0.11,98.0,5.8,21.637931034482758
2021,South Korea,49.26,1.97,96.2,51.3,2.6218323586744643
2021,Saudi Arabia,32.76,1.46,95.7,35.0,3.442857142857143
2021,Sweden,9.5,0.55,94.5,10.1,12.722772277227723
2021,Netherlands,16.1,1.16,93.3,17.3,7.358381502890173
2021,Switzerland,8.02,0.59,93.1,8.7,14.482758620689657
2021,Canada,34.05,2.68,92.7,37.7,2.4376657824933687
2021,United Kingdom,62.48,5.05,92.5,67.9,1.7658321060382915
2021,Oman,4.27,0.35,92.4,4.4,31.409090909090903
2021,Hong Kong,6.82,0.61,91.7,7.5,38.46666666666667
2021,Japan,116.11,11.09,91.3,126.5,1.1620553359683794
